Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Place,Latitude,Longitude
37,12,194,91380,4,2.4000000000000004,3,211,1,1,1,1,1,Los Angeles County,34.4194,-118.5558
56,26,81,95747,2,54.0,3,0,0,0,0,0,1,Placer County,38.7845,-121.3734
40,16,49,92373,1,21.6,1,0,0,0,0,0,1,San Bernardino County,33.9991,-117.149
32,8,8,92093,4,8.399999999999999,2,0,0,1,0,1,0,San Diego County,32.8339,-117.2575
61,37,131,94720,1,34.8,1,0,0,0,0,1,0,Alameda County,37.8746,-122.2547
30,6,72,94005,1,1.2000000000000002,1,207,0,0,0,0,0,San Mateo County,37.687,-122.4185
50,26,190,90245,3,25.200000000000003,3,240,1,0,0,1,0,Los Angeles County,33.9161,-118.4041
29,5,44,95819,1,2.4000000000000004,3,0,0,0,0,1,0,Sacramento County,38.5709,-121.4358
41,17,139,94022,2,96.0,1,0,0,0,0,1,0,Santa Clara County,37.3656,-122.1485
55,30,29,94005,3,1.2000000000000002,2,0,0,1,1,1,0,San Mateo County,37.687,-122.4185
56,31,131,95616,2,14.399999999999999,3,0,1,0,0,0,0,Yolo County,38.563,-121.816
28,2,93,94065,2,2.4000000000000004,1,0,0,0,0,0,0,San Mateo County,37.5348,-122.2471
31,5,188,91320,2,54.0,1,455,0,0,0,0,0,Ventura County,34.1425,-118.9762
49,24,39,90404,3,20.4,2,0,0,1,0,1,0,Los Angeles County,34.0268,-118.4718
47,21,125,93407,1,68.4,1,112,0,1,0,0,0,San Luis Obispo County,35.3017,-120.6601
42,18,22,90089,1,12.0,1,0,0,0,0,0,0,Los Angeles County,34.0218,-118.2883
42,17,32,94523,4,0.0,2,0,0,0,0,1,0,Contra Costa County,37.9538,-122.0778
47,23,105,90024,2,39.599999999999994,1,0,0,0,0,0,0,Los Angeles County,34.0657,-118.4341
59,35,131,91360,1,45.599999999999994,1,0,0,0,0,1,1,Ventura County,34.2134,-118.8814
62,36,105,95670,2,33.599999999999994,1,336,0,0,0,0,0,Sacramento County,38.6048,-121.2692
53,23,45,95123,4,24.0,3,132,0,1,0,0,0,Santa Clara County,37.2407,-121.8269
47,21,60,93407,3,25.200000000000003,1,0,0,0,0,1,1,San Luis Obispo County,35.3017,-120.6601
53,29,20,90045,4,2.4000000000000004,1,0,0,0,0,1,0,Los Angeles County,33.9551,-118.402
42,18,115,91335,1,42.0,1,0,0,0,0,0,1,Los Angeles County,34.2007,-118.5404
53,29,69,93907,4,12.0,2,0,0,0,0,1,0,Monterey County,36.7691,-121.6505
44,20,130,92007,1,60.0,1,0,0,0,0,0,1,San Diego County,33.0179,-117.2682
41,16,85,94606,1,48.0,3,0,0,0,0,1,1,Alameda County,37.7899,-122.2444
28,3,135,94611,2,39.599999999999994,1,0,0,0,0,0,1,Alameda County,37.8361,-122.2193
31,7,135,94901,4,45.599999999999994,2,0,1,0,1,1,1,Marin County,37.9719,-122.5044
58,32,12,91320,3,3.5999999999999996,3,0,0,0,0,0,0,Ventura County,34.1425,-118.9762
46,20,29,92220,3,6.0,2,0,0,0,0,0,0,Riverside County,33.9178,-116.8371
54,30,133,93305,2,31.200000000000003,3,0,1,0,0,0,0,Kern County,35.3907,-118.9879
50,26,19,94720,2,4.800000000000001,1,118,0,0,0,1,0,Alameda County,37.8746,-122.2547
60,36,41,95134,4,15.600000000000001,1,174,0,0,0,1,1,Santa Clara County,37.4248,-121.946
47,22,40,94612,3,32.400000000000006,2,0,0,0,0,1,0,Alameda County,37.8088,-122.2675
41,16,82,92507,1,48.0,3,0,0,0,0,1,0,Riverside County,33.97,-117.323
33,9,50,94305,1,28.799999999999997,2,0,0,0,0,0,0,Santa Clara County,37.424,-122.1676
46,22,18,91730,1,10.8,3,0,0,0,0,1,0,San Bernardino County,34.0994,-117.5763
27,2,109,94005,4,21.6,3,0,0,0,0,0,0,San Mateo County,37.687,-122.4185
40,16,42,94501,4,26.400000000000002,2,126,0,0,0,0,0,Alameda County,37.7735,-122.2785
48,22,78,94305,3,13.200000000000001,1,0,0,0,0,1,0,Santa Clara County,37.424,-122.1676
65,41,51,94117,2,13.200000000000001,1,0,0,0,0,1,0,San Francisco County,37.7692,-122.4425
25,1,113,94303,4,27.599999999999998,3,0,0,0,0,0,1,San Mateo County,37.4578,-122.1225
55,30,118,90277,4,67.19999999999999,2,0,1,0,0,1,0,Los Angeles County,33.8308,-118.3875
35,10,29,94105,4,13.200000000000001,3,0,0,0,0,1,0,San Francisco County,37.7885,-122.3939
43,19,34,94305,3,7.199999999999999,2,0,0,0,0,0,0,Santa Clara County,37.424,-122.1676
60,34,64,94550,2,20.4,3,236,0,1,0,1,0,Alameda County,37.5098,-121.6389
65,39,121,92612,1,24.0,1,0,0,0,0,0,0,Orange County,33.6615,-117.8217
38,12,48,95617,4,2.4000000000000004,3,0,0,0,0,1,0,Yolo County,38.5452,-121.7397
41,15,80,95014,1,62.400000000000006,1,0,0,0,0,0,0,Santa Clara County,37.2943,-122.0944
54,28,161,92121,1,34.8,1,0,0,0,0,1,0,San Diego County,32.9003,-117.2067
49,23,94,92374,1,3.5999999999999996,1,0,0,0,0,1,0,San Bernardino County,34.0683,-117.1725
66,41,15,91711,3,1.2000000000000002,3,0,0,0,0,1,0,Los Angeles County,34.1223,-117.7143
48,23,74,94080,1,14.399999999999999,1,0,0,0,0,1,0,San Mateo County,37.6578,-122.4231
61,36,30,94608,3,15.600000000000001,2,0,0,0,0,0,0,Alameda County,37.8347,-122.2919
53,23,44,93555,3,12.0,3,198,0,0,0,1,1,Kern County,35.6843,-117.4154
43,18,22,95670,2,3.5999999999999996,2,0,0,0,0,1,0,Sacramento County,38.6048,-121.2692
56,32,38,93311,4,15.600000000000001,1,166,0,0,0,1,1,Kern County,35.2109,-119.203
24,0,35,94704,3,1.2000000000000002,2,0,0,1,0,1,0,Alameda County,37.8722,-122.2447
43,17,69,92717,4,34.8,1,0,0,0,0,1,1,Irvine,33.6462,-117.8398
42,18,43,92037,1,8.399999999999999,1,136,0,0,0,0,0,San Diego County,32.8668,-117.2482
33,7,32,95136,1,7.199999999999999,3,166,0,0,0,1,0,Santa Clara County,37.2725,-121.8435
43,17,49,94542,1,33.599999999999994,1,0,0,0,0,1,0,Alameda County,37.6535,-122.0326
41,14,9,91330,3,12.0,2,0,0,0,0,0,0,Los Angeles County,34.2429,-118.5273
62,38,45,94143,4,15.600000000000001,2,0,0,0,0,1,0,San Francisco County,37.7753,-122.4186
40,15,82,91775,3,12.0,1,309,0,0,0,0,0,Los Angeles County,34.1163,-118.0927
58,34,92,92703,2,33.599999999999994,1,103,0,0,0,0,0,Orange County,33.7488,-117.9094
39,14,39,92354,3,6.0,3,0,0,0,0,1,0,San Bernardino County,34.0531,-117.2515
65,40,81,92024,3,21.6,2,0,0,0,0,1,0,San Diego County,33.0545,-117.2498
54,29,35,92831,1,18.0,2,0,0,0,0,1,0,Orange County,33.8768,-117.8931
58,33,61,92833,2,27.599999999999998,3,193,0,0,0,1,0,Orange County,33.8809,-117.963
41,16,73,92647,3,36.0,1,0,0,0,0,1,0,Orange County,33.7268,-118.0069
32,7,112,94304,1,55.199999999999996,1,366,0,0,0,0,0,Santa Clara County,37.4043,-122.1673
54,29,12,90057,2,2.4000000000000004,3,0,0,0,0,1,0,Los Angeles County,34.0623,-118.2762
52,26,38,91711,3,10.8,3,0,0,0,0,1,0,Los Angeles County,34.1223,-117.7143
58,32,73,94523,2,8.399999999999999,2,0,0,0,0,1,1,Contra Costa County,37.9538,-122.0778
37,13,84,92130,1,43.2,2,0,0,1,0,0,0,San Diego County,32.947,-117.2022
39,15,78,92121,4,28.799999999999997,1,118,0,0,0,1,0,San Diego County,32.9003,-117.2067
60,35,80,91301,3,6.0,1,0,0,0,0,1,0,Los Angeles County,34.1435,-118.7632
31,5,115,92096,2,15.600000000000001,1,101,0,0,0,1,1,San Diego County,33.1293,-117.1584
34,8,82,92646,1,32.400000000000006,2,251,0,0,0,1,0,Orange County,33.6649,-117.9642
38,14,74,92182,2,0.0,1,0,0,1,0,1,0,San Diego County,32.7752,-117.0737
41,16,70,92131,3,6.0,3,0,0,0,0,0,1,San Diego County,32.9154,-117.0836
28,4,81,94801,3,18.0,1,276,0,0,0,1,0,Contra Costa County,37.9582,-122.3799
58,34,149,93720,4,86.4,2,0,1,0,1,1,1,Fresno County,36.8614,-119.7612
31,1,51,90840,2,21.0,3,0,0,0,0,0,0,Los Angeles County,33.7819,-118.1157
30,4,39,90245,3,13.200000000000001,2,0,0,0,0,1,0,Los Angeles County,33.9161,-118.4041
53,29,98,95035,3,21.6,2,0,0,0,0,0,0,Santa Clara County,37.422,-121.8166
58,33,45,93010,4,25.200000000000003,1,0,0,0,0,1,1,Ventura County,34.2322,-119.0764
59,32,49,95035,4,30.0,2,0,0,0,0,1,0,Santa Clara County,37.422,-121.8166
49,25,128,95054,2,4.800000000000001,1,0,0,0,0,0,0,Santa Clara County,37.3963,-121.9614
59,34,42,94928,3,18.0,1,0,0,1,1,0,1,Sonoma County,38.3434,-122.6994
59,35,18,93305,1,14.399999999999999,3,0,0,0,0,1,0,Kern County,35.3907,-118.9879
51,25,31,90245,2,4.800000000000001,3,161,0,0,0,1,1,Los Angeles County,33.9161,-118.4041
35,11,58,95831,3,24.0,1,149,0,0,0,1,1,Sacramento County,38.4916,-121.5313
33,9,48,91770,1,25.200000000000003,3,0,0,0,0,0,1,Los Angeles County,34.0625,-118.082
25,1,54,94117,4,19.200000000000003,1,0,0,0,0,1,1,San Francisco County,37.7692,-122.4425
49,23,70,92093,2,18.0,2,0,0,0,0,0,0,San Diego County,32.8339,-117.2575
59,35,124,90007,1,88.80000000000001,1,0,0,0,0,0,1,Los Angeles County,34.0265,-118.2828
46,19,84,94102,1,32.04,2,0,0,0,0,1,1,San Francisco County,37.7794,-122.4177
50,25,83,94542,4,43.2,3,188,0,0,0,1,0,Alameda County,37.6535,-122.0326
52,28,163,91423,2,4.800000000000001,1,116,0,0,0,1,0,Los Angeles County,34.1465,-118.4311
48,22,42,93955,3,26.400000000000002,2,0,0,0,0,0,0,Monterey County,36.6398,-121.8222
46,22,118,94107,2,90.0,1,0,0,0,1,1,1,San Francisco County,37.7679,-122.3929
26,0,132,92834,3,78.0,3,0,1,0,0,0,1,Orange County,33.8796,-117.8978
57,32,24,93117,1,15.600000000000001,1,0,0,0,0,1,1,Santa Barbara County,34.5117,-120.0625
60,36,22,94551,2,12.0,1,0,0,1,1,1,1,Alameda County,37.7644,-121.7653
54,29,58,92612,4,15.600000000000001,3,0,0,0,0,0,0,Orange County,33.6615,-117.8217
24,0,60,94596,4,19.200000000000003,1,0,0,0,0,1,0,Contra Costa County,37.8914,-122.0358
26,0,15,92131,4,4.800000000000001,1,0,0,0,0,0,1,San Diego County,32.9154,-117.0836
41,17,83,94025,4,32.04,1,0,0,0,0,1,1,San Mateo County,37.459,-122.1861
32,6,79,94720,2,18.0,3,0,0,0,0,1,1,Alameda County,37.8746,-122.2547
61,35,41,94545,4,20.4,2,0,0,1,0,1,0,Alameda County,37.6327,-122.1141
29,0,134,95819,4,78.0,3,0,1,0,0,0,0,Sacramento County,38.5709,-121.4358
61,35,80,95053,2,33.599999999999994,1,0,0,0,0,1,0,Santa Clara County,37.3495,-121.9376
38,12,52,90036,1,24.0,1,0,0,0,0,0,0,Los Angeles County,34.0704,-118.3505
28,4,70,91125,4,31.200000000000003,1,0,0,0,0,1,0,Los Angeles County,34.1478,-118.1436
53,27,92,95120,2,13.200000000000001,1,0,0,1,0,0,0,Santa Clara County,37.1927,-121.8341
27,1,43,94706,1,18.0,1,0,0,0,0,1,0,Alameda County,37.8896,-122.2949
25,1,21,95827,3,12.0,2,0,0,0,0,0,0,Sacramento County,38.5558,-121.3242
33,9,23,94305,3,10.8,3,0,0,0,0,1,1,Santa Clara County,37.424,-122.1676
50,26,13,91320,4,12.0,1,0,0,0,0,1,0,Ventura County,34.1425,-118.9762
27,1,112,90503,4,25.200000000000003,3,0,0,0,0,0,1,Los Angeles County,33.8402,-118.3532
27,1,138,90250,2,24.0,1,0,0,0,0,1,0,Los Angeles County,33.9128,-118.3456
52,28,11,95817,3,4.800000000000001,1,0,0,1,0,0,0,Sacramento County,38.5517,-121.4507
38,13,171,92717,2,93.6,1,0,0,0,0,1,0,Irvine,33.6462,-117.8398
58,34,42,90095,4,18.0,1,0,0,0,0,1,1,Los Angeles County,34.071,-118.4432
42,17,168,95503,2,94.80000000000001,2,0,1,0,0,1,0,Humboldt County,40.7214,-124.0994
45,20,85,91711,4,13.200000000000001,2,0,0,1,0,1,0,Los Angeles County,34.1223,-117.7143
52,25,44,93111,3,12.0,2,135,0,0,0,1,0,Santa Barbara County,34.4545,-119.8009
29,3,65,94132,4,21.6,2,244,0,0,0,0,0,San Francisco County,37.723,-122.4848
53,29,24,95818,4,2.4000000000000004,1,0,0,0,0,1,1,Sacramento County,38.5571,-121.4975
62,37,11,91942,1,1.2000000000000002,1,0,0,0,0,1,0,San Diego County,32.783,-117.0192
51,27,38,90401,2,12.0,3,164,0,0,0,1,0,Los Angeles County,34.0153,-118.4936
36,12,10,93524,4,8.399999999999999,2,81,0,0,0,0,0,Kern County,34.909,-117.6235
24,0,135,95133,1,18.0,1,0,0,0,0,1,0,Santa Clara County,37.3716,-121.8612
29,3,148,92173,3,49.199999999999996,1,0,1,0,0,1,0,San Diego County,32.5547,-117.0513
52,26,63,92717,2,18.0,2,0,0,1,0,1,0,Irvine,33.6462,-117.8398
39,14,115,91320,1,12.0,3,0,0,0,0,1,0,Ventura County,34.1425,-118.9762
48,23,45,95616,1,3.5999999999999996,1,0,0,0,0,1,1,Yolo County,38.563,-121.816
46,21,159,94305,3,22.799999999999997,3,315,1,0,0,1,0,Santa Clara County,37.424,-122.1676
64,40,169,91320,2,25.200000000000003,1,122,0,0,0,1,0,Ventura County,34.1425,-118.9762
55,29,112,94043,2,16.799999999999997,1,0,0,0,0,1,0,Santa Clara County,37.4192,-122.0754
60,36,93,92521,1,51.599999999999994,1,0,0,0,0,1,0,Riverside County,33.9685,-117.3335
51,25,29,90404,1,3.5999999999999996,3,140,0,0,0,0,0,Los Angeles County,34.0268,-118.4718
50,23,85,92122,1,32.04,2,0,0,0,0,1,0,San Diego County,32.8567,-117.2072
48,24,21,93118,4,7.199999999999999,1,0,0,0,0,1,1,Santa Barbara County,34.4356,-119.8269
53,29,144,92697,2,81.6,1,0,0,0,0,1,0,Orange County,33.6473,-117.8409
34,10,13,94577,4,12.0,1,95,0,1,0,1,0,Alameda County,37.7159,-122.161
48,24,165,93407,1,60.0,1,0,0,0,0,0,1,San Luis Obispo County,35.3017,-120.6601
55,31,9,91345,4,8.399999999999999,1,89,0,0,0,1,0,Los Angeles County,34.2718,-118.4574
27,3,59,94123,4,0.0,1,90,0,1,0,1,0,San Francisco County,37.8018,-122.4365
36,11,158,92152,1,61.199999999999996,3,0,1,0,1,1,1,San Diego County,32.7011,-117.2455
32,6,29,91355,1,22.799999999999997,3,0,0,0,0,1,1,Los Angeles County,34.4209,-118.6064
35,9,20,94609,2,16.799999999999997,3,0,0,0,0,1,1,Alameda County,37.8348,-122.2635
30,3,68,94306,4,24.0,2,0,0,0,0,1,0,Santa Clara County,37.4118,-122.1295
58,34,65,95747,4,26.400000000000002,1,0,0,0,0,1,0,Placer County,38.7845,-121.3734
56,31,61,96150,2,22.799999999999997,2,105,0,0,0,0,0,El Dorado County,38.8851,-120.0424
38,12,91,95616,4,16.799999999999997,2,100,0,0,0,0,1,Yolo County,38.563,-121.816
49,25,31,91355,1,12.0,1,0,0,1,0,1,0,Los Angeles County,34.4209,-118.6064
34,10,71,94115,4,1.2000000000000002,2,0,0,0,0,0,0,San Francisco County,37.786,-122.4373
40,16,73,94110,4,32.04,1,0,0,0,0,1,1,San Francisco County,37.7487,-122.4158
64,39,172,94707,4,37.2,1,282,1,0,1,1,1,Alameda County,37.8994,-122.2785
51,26,20,92131,2,0.0,1,0,0,0,0,0,0,San Diego County,32.9154,-117.0836
44,18,55,94720,1,2.4000000000000004,1,0,0,0,0,0,0,Alameda County,37.8746,-122.2547
46,22,69,91604,2,20.4,1,209,0,0,0,0,0,Los Angeles County,34.1391,-118.3915
57,33,155,91326,1,88.80000000000001,1,0,0,0,0,1,0,Los Angeles County,34.2808,-118.5573
54,28,94,90291,1,22.799999999999997,2,0,0,0,0,0,0,Los Angeles County,33.9942,-118.4637
38,14,92,95818,2,0.0,1,249,0,0,0,1,1,Sacramento County,38.5571,-121.4975
27,3,125,95521,2,7.199999999999999,1,0,0,0,0,0,0,Humboldt County,40.8396,-124.0384
39,14,74,94305,3,36.0,1,0,0,0,0,0,0,Santa Clara County,37.424,-122.1676
44,20,72,92807,3,3.5999999999999996,3,0,0,0,0,1,0,Orange County,33.8512,-117.7884
56,30,61,94707,1,26.400000000000002,3,0,0,0,0,1,1,Alameda County,37.8994,-122.2785
32,6,25,92130,2,3.5999999999999996,1,0,0,0,0,0,1,San Diego County,32.947,-117.2022
45,19,83,95051,2,20.4,2,0,0,0,0,1,0,Santa Clara County,37.3504,-121.9848
26,2,104,94306,3,30.0,1,0,0,0,0,0,0,Santa Clara County,37.4118,-122.1295
55,25,41,95014,3,12.0,3,0,0,0,0,1,0,Santa Clara County,37.2943,-122.0944
52,27,58,94305,4,21.6,3,91,0,0,0,0,0,Santa Clara County,37.424,-122.1676
39,13,93,94720,1,18.0,3,0,0,0,0,0,1,Alameda County,37.8746,-122.2547
24,1,39,94085,2,20.4,2,0,0,0,0,0,0,Santa Clara County,37.3886,-122.0168
47,23,148,94551,2,90.0,1,0,0,0,1,1,1,Alameda County,37.7644,-121.7653
47,22,53,92677,4,22.799999999999997,3,98,0,1,1,0,1,Orange County,33.5337,-117.7074
48,24,71,93117,2,20.4,1,145,0,0,0,0,1,Santa Barbara County,34.5117,-120.0625
47,22,92,94720,1,33.599999999999994,2,0,0,0,0,1,0,Alameda County,37.8746,-122.2547
35,10,61,94304,4,25.200000000000003,3,0,0,0,0,1,0,Santa Clara County,37.4043,-122.1673
46,19,38,94122,3,30.0,2,135,0,0,0,0,0,San Francisco County,37.762,-122.4831
62,37,58,91320,4,20.4,1,0,0,0,0,1,0,Ventura County,34.1425,-118.9762
26,1,80,95616,1,9.600000000000001,2,150,0,0,0,0,0,Yolo County,38.563,-121.816
38,8,71,94720,4,21.6,3,0,0,0,0,1,0,Alameda County,37.8746,-122.2547
43,18,89,93407,3,6.0,3,0,0,0,0,1,1,San Luis Obispo County,35.3017,-120.6601
62,38,83,92521,1,21.6,3,0,0,0,0,1,0,Riverside County,33.9685,-117.3335
57,32,28,95831,3,2.4000000000000004,1,0,0,0,0,1,1,Sacramento County,38.4916,-121.5313
28,3,52,94112,4,20.4,2,0,0,0,0,0,0,San Francisco County,37.7217,-122.4446
51,26,70,90089,1,14.399999999999999,1,169,0,0,0,0,0,Los Angeles County,34.0218,-118.2883
48,22,71,91711,1,16.799999999999997,3,0,0,0,0,0,1,Los Angeles County,34.1223,-117.7143
41,16,75,94005,1,44.400000000000006,3,280,0,0,0,0,0,San Mateo County,37.687,-122.4185
65,39,170,90095,3,94.80000000000001,3,99,1,0,1,1,0,Los Angeles County,34.071,-118.4432
41,17,78,94025,4,9.600000000000001,1,78,0,0,0,1,0,San Mateo County,37.459,-122.1861
35,11,25,92614,2,12.0,2,0,0,0,0,0,0,Orange County,33.6841,-117.8275
38,14,60,94025,2,7.199999999999999,3,0,0,0,0,1,1,San Mateo County,37.459,-122.1861
53,29,120,92626,4,32.400000000000006,2,111,1,1,1,1,0,Orange County,33.6791,-117.9055
55,29,99,92121,2,16.799999999999997,1,264,0,0,0,1,1,San Diego County,32.9003,-117.2067
26,1,55,90089,3,31.200000000000003,3,113,0,0,0,0,1,Los Angeles County,34.0218,-118.2883
30,6,29,94305,3,12.0,2,117,0,0,0,0,0,Santa Clara County,37.424,-122.1676
54,28,170,92182,2,74.4,2,325,1,0,0,1,0,San Diego County,32.7752,-117.0737
65,40,53,91711,3,26.400000000000002,1,0,0,0,0,0,1,Los Angeles County,34.1223,-117.7143
47,21,138,94583,1,0.0,1,0,0,0,0,0,0,Contra Costa County,37.7699,-122.0014
65,41,134,91942,3,46.8,3,121,1,0,0,1,0,San Diego County,32.783,-117.0192
66,40,42,92103,2,8.399999999999999,3,138,0,0,0,0,1,San Diego County,32.7454,-117.1702
26,0,99,92697,4,27.599999999999998,3,0,0,0,0,0,1,Orange County,33.6473,-117.8409
66,41,18,92691,3,6.0,1,0,0,0,0,0,1,Orange County,33.6042,-117.6677
35,9,24,95747,4,3.5999999999999996,1,0,0,0,0,1,0,Placer County,38.7845,-121.3734
56,30,55,94107,1,16.799999999999997,1,77,0,0,0,1,0,San Francisco County,37.7679,-122.3929
51,27,58,92407,1,0.0,1,0,0,0,0,0,1,San Bernardino County,34.2441,-117.3086
42,16,111,93106,2,14.399999999999999,3,251,1,0,0,1,0,Santa Barbara County,34.4144,-119.8475
49,23,33,90245,1,3.5999999999999996,3,0,0,0,1,1,1,Los Angeles County,33.9161,-118.4041
27,1,74,92121,4,21.6,2,112,0,0,0,1,1,San Diego County,32.9003,-117.2067
45,19,38,90840,2,8.399999999999999,1,0,0,0,0,0,0,Los Angeles County,33.7819,-118.1157
49,23,23,94305,4,7.199999999999999,3,98,0,1,0,0,0,Santa Clara County,37.424,-122.1676
63,38,61,94720,2,18.0,1,0,0,0,0,1,0,Alameda County,37.8746,-122.2547
47,22,81,90504,1,34.8,1,138,0,0,0,0,0,Los Angeles County,33.8726,-118.3313
64,39,129,94002,1,30.0,1,0,0,0,0,1,0,San Mateo County,37.5138,-122.2963
43,13,33,95039,1,9.0,3,0,0,0,0,0,0,Monterey County,36.8341,-121.7733
60,36,63,94063,4,26.400000000000002,1,0,0,0,0,1,0,San Mateo County,37.5052,-122.2048
40,14,70,94923,4,16.799999999999997,2,0,0,0,0,1,0,Sonoma County,38.3489,-123.0312
29,3,45,95023,4,2.4000000000000004,1,158,0,0,0,1,1,San Benito County,36.8956,-121.1837
41,16,65,90095,3,6.0,3,0,0,0,0,1,0,Los Angeles County,34.071,-118.4432
30,5,74,95616,4,26.400000000000002,1,0,0,1,0,0,1,Yolo County,38.563,-121.816
49,24,50,94706,4,21.6,3,0,0,1,0,0,0,Alameda County,37.8896,-122.2949
30,5,22,90058,4,6.0,3,109,0,0,0,1,0,Los Angeles County,34.0019,-118.2126
29,2,30,92126,4,12.0,3,0,0,0,0,0,0,San Diego County,32.911,-117.1448
50,26,21,91125,4,12.0,1,0,0,0,0,1,0,Los Angeles County,34.1478,-118.1436
39,14,155,94577,2,46.8,1,0,0,0,0,1,0,Alameda County,37.7159,-122.161
33,8,64,92121,4,25.200000000000003,3,164,0,0,0,1,0,San Diego County,32.9003,-117.2067
57,31,65,94118,4,31.200000000000003,3,0,0,0,0,0,1,San Francisco County,37.7824,-122.4608
